"iso2","N","infection","exist","exist_fraction"
"AO",161,"hk_prevalence",159.0,0.9875776397515528
"BF",163,"hk_prevalence",126.0,0.7730061349693251
"BI",773,"hk_prevalence",357.0,0.46183699870633893
"BJ",450,"hk_prevalence",73.0,0.1622222222222222
"BW",162,"hk_prevalence",128.0,0.7901234567901234
"CD",1960,"hk_prevalence",1846.0,0.9418367346938775
"CF",3,"hk_prevalence",2.0,0.6666666666666666
"CG",2,"hk_prevalence",0.0,0.0
"CI",1279,"hk_prevalence",657.0,0.5136825645035183
"CM",593,"hk_prevalence",214.0,0.3608768971332209
"CV",17,"hk_prevalence",0.0,0.0
"EG",19,"hk_prevalence",0.0,0.0
"ER",387,"hk_prevalence",376.0,0.9715762273901809
"ET",641,"hk_prevalence",423.0,0.6599063962558502
"GA",284,"hk_prevalence",248.0,0.8732394366197183
"GH",96,"hk_prevalence",90.0,0.9375
"GM",433,"hk_prevalence",255.0,0.5889145496535797
"GN",217,"hk_prevalence",67.0,0.3087557603686636
"GW",177,"hk_prevalence",118.0,0.6666666666666666
"KE",1509,"hk_prevalence",1421.0,0.9416832339297548
"LR",1994,"hk_prevalence",1949.0,0.977432296890672
"LS",51,"hk_prevalence",45.0,0.8823529411764706
"MG",474,"hk_prevalence",450.0,0.9493670886075949
"ML",264,"hk_prevalence",222.0,0.8409090909090909
"MR",152,"hk_prevalence",82.0,0.5394736842105263
"MU",50,"hk_prevalence",47.0,0.94
"MW",1025,"hk_prevalence",1013.0,0.9882926829268293
"MZ",322,"hk_prevalence",4.0,0.012422360248447204
"NE",714,"hk_prevalence",335.0,0.469187675070028
"NG",3385,"hk_prevalence",2818.0,0.8324963072378139
"RW",446,"hk_prevalence",308.0,0.6905829596412556
"SC",8,"hk_prevalence",6.0,0.75
"SD",2,"hk_prevalence",0.0,0.0
"SL",172,"hk_prevalence",116.0,0.6744186046511628
"SN",175,"hk_prevalence",125.0,0.7142857142857143
"SO",12,"hk_prevalence",0.0,0.0
"SS",437,"hk_prevalence",417.0,0.954233409610984
"ST",108,"hk_prevalence",29.0,0.26851851851851855
