"iso2","N","complete","complete_fraction"
"AO",161,160.0,0.9937888198757764
"BF",163,127.0,0.7791411042944786
"BI",773,358.0,0.463130659767141
"BJ",450,449.0,0.9977777777777778
"BW",162,129.0,0.7962962962962963
"CD",1960,1865.0,0.951530612244898
"CF",3,3.0,1.0
"CG",2,"",0.0
"CI",1279,660.0,0.5160281469898358
"CM",593,220.0,0.37099494097807756
"CV",17,"",0.0
"EG",19,"",0.0
"ER",387,377.0,0.9741602067183462
"ET",641,459.0,0.7160686427457098
"GA",284,249.0,0.8767605633802817
"GH",96,92.0,0.9583333333333334
"GM",433,432.0,0.9976905311778291
"GN",217,68.0,0.31336405529953915
"GW",177,128.0,0.7231638418079096
"KE",1509,1457.0,0.9655400927766733
"LR",1994,1950.0,0.9779338014042126
"LS",51,46.0,0.9019607843137255
"MG",474,453.0,0.9556962025316456
"ML",264,223.0,0.8446969696969697
"MR",152,128.0,0.8421052631578947
"MU",50,48.0,0.96
"MW",1025,1015.0,0.9902439024390244
"MZ",322,140.0,0.43478260869565216
"NE",714,344.0,0.48179271708683474
"NG",3385,2846.0,0.840768094534712
"RW",446,442.0,0.9910313901345291
"SC",8,7.0,0.875
"SD",2,"",0.0
"SL",172,117.0,0.6802325581395349
"SN",175,136.0,0.7771428571428571
"SO",12,"",0.0
"SS",437,418.0,0.9565217391304348
"ST",108,30.0,0.2777777777777778
"SZ",278,263.0,0.9460431654676259
"TD",427,304.0,0.711943793911007
"TG",2201,2169.0,0.9854611540208996
"TZ",1256,1068.0,0.8503184713375797
"UG",1845,1736.0,0.9409214092140922
"ZA",342,221.0,0.6461988304093568
"ZM",1145,112.0,0.09781659388646288
"ZW",586,144.0,0.24573378839590443
"ZZ",150,41.0,0.2733333333333333
