"complete_iin","complete_iif","iso2","complete","N"
153.0,1.0,"AO",153,161
153.0,1.0,"AO",153,161
153.0,1.0,"AO",153,161
153.0,1.0,"AO",153,161
100.0,0.8064516129032258,"BF",124,163
100.0,0.8064516129032258,"BF",124,163
100.0,0.8064516129032258,"BF",124,163
100.0,0.8064516129032258,"BF",124,163
219.0,0.9733333333333334,"BI",225,773
219.0,0.9733333333333334,"BI",225,773
219.0,0.9733333333333334,"BI",225,773
219.0,0.9733333333333334,"BI",225,773
380.0,1.0,"BJ",380,450
380.0,1.0,"BJ",380,450
380.0,1.0,"BJ",380,450
380.0,1.0,"BJ",380,450
125.0,1.0,"BW",125,162
125.0,1.0,"BW",125,162
125.0,1.0,"BW",125,162
125.0,1.0,"BW",125,162
1493.0,0.9867812293456708,"CD",1513,1960
1493.0,0.9867812293456708,"CD",1513,1960
1493.0,0.9867812293456708,"CD",1513,1960
1493.0,0.9867812293456708,"CD",1513,1960
0.0,0.0,"CF",2,3
0.0,0.0,"CF",2,3
0.0,0.0,"CF",2,3
0.0,0.0,"CF",2,3
571.0,0.9810996563573883,"CI",582,1279
571.0,0.9810996563573883,"CI",582,1279
571.0,0.9810996563573883,"CI",582,1279
571.0,0.9810996563573883,"CI",582,1279
191.0,0.8967136150234741,"CM",213,593
191.0,0.8967136150234741,"CM",213,593
191.0,0.8967136150234741,"CM",213,593
191.0,0.8967136150234741,"CM",213,593
307.0,1.0,"ER",307,387
307.0,1.0,"ER",307,387
307.0,1.0,"ER",307,387
307.0,1.0,"ER",307,387
225.0,0.6797583081570997,"ET",331,641
225.0,0.6797583081570997,"ET",331,641
225.0,0.6797583081570997,"ET",331,641
225.0,0.6797583081570997,"ET",331,641
139.0,1.0,"GA",139,284
139.0,1.0,"GA",139,284
139.0,1.0,"GA",139,284
139.0,1.0,"GA",139,284
91.0,1.0,"GH",91,96
91.0,1.0,"GH",91,96
91.0,1.0,"GH",91,96
91.0,1.0,"GH",91,96
202.0,0.9950738916256158,"GM",203,433
202.0,0.9950738916256158,"GM",203,433
202.0,0.9950738916256158,"GM",203,433
202.0,0.9950738916256158,"GM",203,433
36.0,0.5901639344262295,"GN",61,217
36.0,0.5901639344262295,"GN",61,217
36.0,0.5901639344262295,"GN",61,217
36.0,0.5901639344262295,"GN",61,217
70.0,0.5511811023622047,"GW",127,177
70.0,0.5511811023622047,"GW",127,177
70.0,0.5511811023622047,"GW",127,177
70.0,0.5511811023622047,"GW",127,177
1123.0,0.8349442379182156,"KE",1345,1509
1123.0,0.8349442379182156,"KE",1345,1509
1123.0,0.8349442379182156,"KE",1345,1509
1123.0,0.8349442379182156,"KE",1345,1509
761.0,0.9883116883116884,"LR",770,1994
761.0,0.9883116883116884,"LR",770,1994
761.0,0.9883116883116884,"LR",770,1994
761.0,0.9883116883116884,"LR",770,1994
41.0,1.0,"LS",41,51
41.0,1.0,"LS",41,51
41.0,1.0,"LS",41,51
41.0,1.0,"LS",41,51
295.0,0.7375,"MG",400,474
295.0,0.7375,"MG",400,474
295.0,0.7375,"MG",400,474
295.0,0.7375,"MG",400,474
213.0,0.9906976744186047,"ML",215,264
213.0,0.9906976744186047,"ML",215,264
213.0,0.9906976744186047,"ML",215,264
213.0,0.9906976744186047,"ML",215,264
40.0,0.8888888888888888,"MR",45,152
40.0,0.8888888888888888,"MR",45,152
40.0,0.8888888888888888,"MR",45,152
40.0,0.8888888888888888,"MR",45,152
43.0,1.0,"MU",43,50
43.0,1.0,"MU",43,50
43.0,1.0,"MU",43,50
43.0,1.0,"MU",43,50
594.0,0.6939252336448598,"MW",856,1025
594.0,0.6939252336448598,"MW",856,1025
594.0,0.6939252336448598,"MW",856,1025
594.0,0.6939252336448598,"MW",856,1025
132.0,0.9924812030075187,"MZ",133,322
132.0,0.9924812030075187,"MZ",133,322
132.0,0.9924812030075187,"MZ",133,322
132.0,0.9924812030075187,"MZ",133,322
263.0,0.9006849315068494,"NE",292,714
263.0,0.9006849315068494,"NE",292,714
263.0,0.9006849315068494,"NE",292,714
263.0,0.9006849315068494,"NE",292,714
2374.0,0.9801816680429397,"NG",2422,3385
2374.0,0.9801816680429397,"NG",2422,3385
2374.0,0.9801816680429397,"NG",2422,3385
2374.0,0.9801816680429397,"NG",2422,3385
237.0,1.0,"RW",237,446
237.0,1.0,"RW",237,446
237.0,1.0,"RW",237,446
237.0,1.0,"RW",237,446
6.0,1.0,"SC",6,8
6.0,1.0,"SC",6,8
6.0,1.0,"SC",6,8
6.0,1.0,"SC",6,8
81.0,0.9759036144578314,"SL",83,172
81.0,0.9759036144578314,"SL",83,172
81.0,0.9759036144578314,"SL",83,172
81.0,0.9759036144578314,"SL",83,172
96.0,0.9320388349514563,"SN",103,175
96.0,0.9320388349514563,"SN",103,175
96.0,0.9320388349514563,"SN",103,175
96.0,0.9320388349514563,"SN",103,175
297.0,0.7538071065989848,"SS",394,437
297.0,0.7538071065989848,"SS",394,437
297.0,0.7538071065989848,"SS",394,437
297.0,0.7538071065989848,"SS",394,437
27.0,1.0,"ST",27,108
27.0,1.0,"ST",27,108
27.0,1.0,"ST",27,108
27.0,1.0,"ST",27,108
235.0,1.0,"SZ",235,278
235.0,1.0,"SZ",235,278
235.0,1.0,"SZ",235,278
235.0,1.0,"SZ",235,278
224.0,1.0,"TD",224,427
224.0,1.0,"TD",224,427
224.0,1.0,"TD",224,427
224.0,1.0,"TD",224,427
2027.0,0.9995069033530573,"TG",2028,2201
2027.0,0.9995069033530573,"TG",2028,2201
2027.0,0.9995069033530573,"TG",2028,2201
2027.0,0.9995069033530573,"TG",2028,2201
335.0,0.654296875,"TZ",512,1256
335.0,0.654296875,"TZ",512,1256
335.0,0.654296875,"TZ",512,1256
335.0,0.654296875,"TZ",512,1256
887.0,0.8603297769156159,"UG",1031,1845
887.0,0.8603297769156159,"UG",1031,1845
887.0,0.8603297769156159,"UG",1031,1845
887.0,0.8603297769156159,"UG",1031,1845
160.0,0.7272727272727273,"ZA",220,342
160.0,0.7272727272727273,"ZA",220,342
160.0,0.7272727272727273,"ZA",220,342
160.0,0.7272727272727273,"ZA",220,342
102.0,0.9807692307692307,"ZM",104,1145
102.0,0.9807692307692307,"ZM",104,1145
102.0,0.9807692307692307,"ZM",104,1145
102.0,0.9807692307692307,"ZM",104,1145
122.0,0.9037037037037037,"ZW",135,586
122.0,0.9037037037037037,"ZW",135,586
122.0,0.9037037037037037,"ZW",135,586
122.0,0.9037037037037037,"ZW",135,586
40.0,1.0,"ZZ",40,150
40.0,1.0,"ZZ",40,150
40.0,1.0,"ZZ",40,150
40.0,1.0,"ZZ",40,150
