"iso2","N","feature","missing_number","missing_fraction"
"AO",160,"site_id",160,1.0
"BF",162,"site_id",5,0.030864197530864196
"BI",772,"site_id",391,0.5064766839378239
"BJ",449,"site_id",448,0.9977728285077951
"BW",161,"site_id",0,0.0
"CD",1959,"site_id",104,0.05308831036242981
"CF",2,"site_id",2,1.0
"CG",1,"site_id",1,1.0
"CI",1278,"site_id",1268,0.9921752738654147
"CM",592,"site_id",22,0.037162162162162164
"CV",16,"site_id",16,1.0
"EG",18,"site_id",18,1.0
"ER",386,"site_id",40,0.10362694300518134
"ET",640,"site_id",421,0.6578125
"GA",283,"site_id",1,0.0035335689045936395
"GH",95,"site_id",81,0.8526315789473684
"GM",432,"site_id",1,0.0023148148148148147
"GN",216,"site_id",41,0.18981481481481483
"GW",176,"site_id",120,0.6818181818181818
"KE",1508,"site_id",688,0.4562334217506631
"LR",1993,"site_id",1500,0.7526342197691922
"LS",50,"site_id",0,0.0
"MG",473,"site_id",136,0.28752642706131076
"ML",263,"site_id",7,0.026615969581749048
"MR",151,"site_id",11,0.0728476821192053
"MU",49,"site_id",0,0.0
"MW",1024,"site_id",951,0.9287109375
"MZ",321,"site_id",6,0.018691588785046728
"NE",713,"site_id",360,0.5049088359046283
"NG",3384,"site_id",208,0.061465721040189124
"RW",445,"site_id",187,0.4202247191011236
"SC",7,"site_id",1,0.14285714285714285
"SD",1,"site_id",1,1.0
"SL",171,"site_id",110,0.6432748538011696
"SN",174,"site_id",126,0.7241379310344828
"SO",11,"site_id",11,1.0
"SS",436,"site_id",106,0.24311926605504589
"ST",107,"site_id",11,0.102803738317757
"SZ",277,"site_id",0,0.0
"TD",426,"site_id",2,0.004694835680751174
"TG",2200,"site_id",1110,0.5045454545454545
"TZ",1255,"site_id",901,0.7179282868525897
"UG",1844,"site_id",587,0.3183297180043384
"ZA",341,"site_id",265,0.7771260997067448
"ZM",1144,"site_id",1038,0.9073426573426573
"ZW",585,"site_id",27,0.046153846153846156
"ZZ",149,"site_id",42,0.28187919463087246
"AO",160,"latitude",1,0.00625
"BF",162,"latitude",24,0.14814814814814814
"BI",772,"latitude",263,0.34067357512953367
"BJ",449,"latitude",1,0.0022271714922048997
"BW",161,"latitude",33,0.20496894409937888
"CD",1959,"latitude",95,0.04849412965798877
"CF",2,"latitude",0,0.0
"CG",1,"latitude",0,0.0
"CI",1278,"latitude",617,0.48278560250391234
"CM",592,"latitude",179,0.30236486486486486
"CV",16,"latitude",16,1.0
"EG",18,"latitude",18,1.0
"ER",386,"latitude",10,0.025906735751295335
"ET",640,"latitude",102,0.159375
"GA",283,"latitude",32,0.11307420494699646
"GH",95,"latitude",4,0.042105263157894736
"GM",432,"latitude",1,0.0023148148148148147
"GN",216,"latitude",98,0.4537037037037037
"GW",176,"latitude",39,0.2215909090909091
"KE",1508,"latitude",48,0.03183023872679045
"LR",1993,"latitude",44,0.02207727044656297
"LS",50,"latitude",5,0.1
"MG",473,"latitude",18,0.03805496828752643
"ML",263,"latitude",4,0.015209125475285171
"MR",151,"latitude",24,0.15894039735099338
"MU",49,"latitude",2,0.04081632653061224
"MW",1024,"latitude",10,0.009765625
"MZ",321,"latitude",43,0.13395638629283488
"NE",713,"latitude",297,0.4165497896213184
"NG",3384,"latitude",150,0.044326241134751775
"RW",445,"latitude",4,0.008988764044943821
"SC",7,"latitude",1,0.14285714285714285
"SD",1,"latitude",1,1.0
