"variable","year","longitude","latitude","hk_prevalence","asc_prevalence","tt_prevalence","coordinates","iso2"
"year",,,,,,,,"AO"
"longitude",,,,,,,,"AO"
"latitude",,,1,,0,,1,"AO"
"hk_prevalence",,,,,,,,"AO"
"asc_prevalence",,,0,,1,,0,"AO"
"tt_prevalence",,,,,,,,"AO"
"coordinates",,,1,,0,,1,"AO"
"year",1,0,0.3337,,0,0.4264,0.3337,"BF"
"longitude",0,1,0.5425,,0,0.2365,0.5425,"BF"
"latitude",0.3337,0.5425,1,,0,0.4493,1,"BF"
"hk_prevalence",,,,,,,,"BF"
"asc_prevalence",0,0,0,,1,0.1551,0,"BF"
"tt_prevalence",0.4264,0.2365,0.4493,,0.1551,1,0.4493,"BF"
"coordinates",0.3337,0.5425,1,,0,0.4493,1,"BF"
"year",1,0.2423,0.03498,,,,0.03498,"BI"
"longitude",0.2423,1,0.542,,,,0.542,"BI"
"latitude",0.03498,0.542,1,,,,1,"BI"
"hk_prevalence",,,,,,,,"BI"
"asc_prevalence",,,,,,,,"BI"
"tt_prevalence",,,,,,,,"BI"
"coordinates",0.03498,0.542,1,,,,1,"BI"
"year",,,,,,,,"BJ"
"longitude",,,,,,,,"BJ"
"latitude",,,1,0,0,0,1,"BJ"
"hk_prevalence",,,0,1,0.9535,0.9028,0,"BJ"
"asc_prevalence",,,0,0.9535,1,0.918,0,"BJ"
"tt_prevalence",,,0,0.9028,0.918,1,0,"BJ"
"coordinates",,,1,0,0,0,1,"BJ"
"year",,,,,,,,"BW"
"longitude",,1,1,,,,1,"BW"
"latitude",,1,1,,,,1,"BW"
"hk_prevalence",,,,,,,,"BW"
"asc_prevalence",,,,,,,,"BW"
"tt_prevalence",,,,,,,,"BW"
"coordinates",,1,1,,,,1,"BW"
"year",1,0,0.09755,0,,,0.09755,"CD"
"longitude",0,1,0.7456,0.5501,,,0.7456,"CD"
"latitude",0.09755,0.7456,1,0.4039,,,1,"CD"
"hk_prevalence",0,0.5501,0.4039,1,,,0.4039,"CD"
"asc_prevalence",,,,,,,,"CD"
"tt_prevalence",,,,,,,,"CD"
"coordinates",0.09755,0.7456,1,0.4039,,,1,"CD"
"year",,,,,,,,"CF"
"longitude",,,,,,,,"CF"
"latitude",,,,,,,,"CF"
"hk_prevalence",,,,,,,,"CF"
"asc_prevalence",,,,,,,,"CF"
"tt_prevalence",,,,,,,,"CF"
"coordinates",,,,,,,,"CF"
"year",,,,,,,,"CG"
"longitude",,,,,,,,"CG"
"latitude",,,,,,,,"CG"
"hk_prevalence",,,,,,,,"CG"
"asc_prevalence",,,,,,,,"CG"
"tt_prevalence",,,,,,,,"CG"
"coordinates",,,,,,,,"CG"
"year",1,0.02485,0.02609,0.4063,0,0.3512,0.02609,"CI"
"longitude",0.02485,1,0.9783,0.03633,0.03633,0,0.9783,"CI"
"latitude",0.02609,0.9783,1,0.03761,0.03761,0,1,"CI"
"hk_prevalence",0.4063,0.03633,0.03761,1,0.6656,0.2855,0.03761,"CI"
"asc_prevalence",0,0.03633,0.03761,0.6656,1,0.2855,0.03761,"CI"
"tt_prevalence",0.3512,0,0,0.2855,0.2855,1,0,"CI"
"coordinates",0.02609,0.9783,1,0.03761,0.03761,0,1,"CI"
"year",1,0.1951,0.03179,0.07323,0.1053,0.112,0.03179,"CM"
"longitude",0.1951,1,0.3789,0,0,0,0.3789,"CM"
"latitude",0.03179,0.3789,1,0.04476,0.07076,0.07593,1,"CM"
"hk_prevalence",0.07323,0,0.04476,1,0,0,0.04476,"CM"
"asc_prevalence",0.1053,0,0.07076,0,1,0.9478,0.07076,"CM"
"tt_prevalence",0.112,0,0.07593,0,0.9478,1,0.07593,"CM"
"coordinates",0.03179,0.3789,1,0.04476,0.07076,0.07593,1,"CM"
"year",,,,,,,,"CV"
"longitude",,,,,,,,"CV"
"latitude",,,,,,,,"CV"
"hk_prevalence",,,,1,1,1,,"CV"
"asc_prevalence",,,,1,1,1,,"CV"
"tt_prevalence",,,,1,1,1,,"CV"
"coordinates",,,,,,,,"CV"
"year",1,0,,0,,0,,"EG"
"longitude",0,1,,0,,0,,"EG"
"latitude",,,,,,,,"EG"
"hk_prevalence",0,0,,1,,0,,"EG"
"asc_prevalence",,,,,,,,"EG"
"tt_prevalence",0,0,,0,,1,,"EG"
"coordinates",,,,,,,,"EG"
"year",,,,,,,,"ER"
"longitude",,,,,,,,"ER"
"latitude",,,1,,,,1,"ER"
"hk_prevalence",,,,,,,,"ER"
"asc_prevalence",,,,,,,,"ER"
"tt_prevalence",,,,,,,,"ER"
"coordinates",,,1,,,,1,"ER"
